Business_Unit,Segment,Subsegment,Period,Biz_Desc,Orders,Revenue,China_Core_Inflation_Rate,China_Exports,China_GDP,China_GDP_from_Construction,China_GDP_from_Manufacturing,China_Industrial_Production,China_Industrial_Production_Mom,China_Inflation_Rate,China_Interest_Rate,China_Steel_Production,France_Core_Inflation_Rate,France_Exports,France_GDP,France_GDP_from_Construction,France_GDP_from_Manufacturing,France_Industrial_Production,France_Industrial_Production_Mom,France_Inflation_Rate,France_Interest_Rate,Germany_Core_Inflation_Rate,Germany_Exports,Germany_GDP,Germany_GDP_from_Construction,Germany_GDP_from_Manufacturing,Germany_Industrial_Production,Germany_Industrial_Production_Mom,Germany_Inflation_Rate,Germany_Interest_Rate,Germany_Steel_Production,Italy_Core_Inflation_Rate,Italy_Exports,Italy_GDP,Italy_GDP_from_Construction,Italy_GDP_from_Manufacturing,Italy_Industrial_Production,Italy_Industrial_Production_Mom,Italy_Inflation_Rate,Italy_Interest_Rate,Japan_Core_Inflation_Rate,Japan_Exports,Japan_GDP,Japan_GDP_from_Construction,Japan_GDP_from_Manufacturing,Japan_Industrial_Production,Japan_Industrial_Production_Mom,Japan_Inflation_Rate,Japan_Interest_Rate,Japan_Steel_Production,Switzerland_Core_Inflation_Rate,Switzerland_Exports,Switzerland_GDP,Switzerland_Industrial_Production,Switzerland_Industrial_Production_Mom,Switzerland_Inflation_Rate,Switzerland_Interest_Rate,United_Kingdom_Core_Inflation_Rate,United_Kingdom_Exports,United_Kingdom_GDP,United_Kingdom_GDP_from_Construction,United_Kingdom_GDP_from_Manufacturing,United_Kingdom_Industrial_Production,United_Kingdom_Industrial_Production_Mom,United_Kingdom_Inflation_Rate,United_Kingdom_Interest_Rate,United_States_Core_Inflation_Rate,United_States_Exports,United_States_GDP,United_States_GDP_from_Construction,United_States_GDP_from_Manufacturing,United_States_Industrial_Production,United_States_Industrial_Production_Mom,United_States_Inflation_Rate,United_States_Interest_Rate,United_States_Steel_Production,Date,Start_Period,End_Period
SSI027,SSI02710,SSI02710,11,SSI,0,334,1.1,214.8,18201.7,79269.8,369903.7,7.5,0.38,0.9,3.7,75000,2.4,46543.5,2966.43,30150.0,57196.0,2.0,-1.5,3.6,0.0,2.8,125.82,4348.3,37.14,175.956,2.6,0.1,4.3,0.0,3200.0,1.74,47418.0,2179.21,21748.6,70142.8,3.6,4.1,5.71,0.0,0.6,7188.937,5039.15,29053.1,119767.9,0.0,1.3,0.9,-0.1,7300.0,1.3,23896.8,815.31,6.7,1.6,2.2,-0.75,5.2,62768.0,3143.32,32657.0,53849.0,-4.8,-0.9,6.2,0.5,6.4,237.005,23681.17,866.9,2358.9,6.6,0.6,7.9,0.25,6400.0,2022-02-01,1,36
SSI027,SSI02710,SSI02710,12,SSI,0,334,1.1,272.87,18201.7,12501.8,90917.3,5.0,0.51,1.5,3.7,88300,2.5,46578.9,2966.43,29812.0,56565.0,-0.2,-0.4,4.5,0.0,3.0,125.23,4348.3,34.467,175.772,-4.7,-4.4,5.9,0.0,3300.0,1.93,56821.0,2179.21,23067.4,71141.4,3.4,0.4,6.46,0.0,0.8,8458.47,5039.15,29053.1,119767.9,-1.6,-0.3,1.2,-0.1,8000.0,1.4,21320.3,815.31,7.1,3.6,2.4,-0.75,5.7,65817.0,3143.32,33635.0,52320.0,-5.5,-0.3,7.0,0.75,6.5,248.299,23681.17,884.3,2327.8,4.6,0.8,8.5,0.5,7000.0,2022-03-01,1,36
SSI027,SSI02710,SSI02710,13,SSI,0,334,0.9,268.97,18201.7,12501.8,90917.3,-2.9,0.16,2.1,3.7,92800,3.2,47763.2,2966.43,29812.0,56565.0,-1.0,-0.9,4.8,0.0,3.4,127.43,4348.3,34.467,175.772,-3.5,1.2,6.3,0.0,3300.0,2.41,50391.0,2179.21,23067.4,71141.4,4.1,2.1,5.96,0.0,2.1,8075.342,5039.15,29053.1,119767.9,-4.7,-0.4,2.5,-0.1,7500.0,1.5,21496.6,815.31,7.1,3.6,2.5,-0.75,6.2,69677.0,3143.32,33635.0,52320.0,-4.8,0.5,9.0,0.75,6.2,256.715,23681.17,884.3,2327.8,4.6,0.2,8.3,0.5,6900.0,2022-04-01,1,36
SSI027,SSI02710,SSI02710,14,SSI,0,334,0.9,303.9,18201.7,12501.8,90917.3,0.7,0.62,2.1,3.7,96600,3.6,48216.5,2966.43,29812.0,56565.0,0.3,1.3,5.2,0.0,3.7,132.39,4348.3,34.467,175.772,-1.6,1.4,7.0,0.0,3200.0,3.19,56809.0,2179.21,23067.4,71141.4,3.2,-2.2,6.82,0.0,2.1,7250.949,5039.15,29053.1,119767.9,-2.7,-4.4,2.5,-0.1,8100.0,1.7,21812.3,815.31,7.1,3.6,2.9,-0.75,5.9,72333.0,3143.32,33635.0,52320.0,-3.5,0.4,9.1,1.0,6.0,259.05,23681.17,884.3,2327.8,3.8,0.1,8.6,1.0,7200.0,2022-05-01,1,36
SSI027,SSI02710,SSI02710,15,SSI,0,334,1.0,323.41,18201.7,34145.2,188508.7,3.9,0.91,2.5,3.7,90700,3.7,49981.8,2966.43,29204.0,55709.0,1.7,0.8,5.8,0.0,3.3,134.98,4348.3,33.4,175.948,0.4,0.3,6.7,0.0,3200.0,3.76,54882.0,2179.21,23718.2,72134.2,-1.0,-2.4,7.97,0.0,2.2,8613.71,5039.15,29053.1,119767.9,-3.0,5.0,2.4,-0.1,7400.0,1.9,22451.3,815.31,4.8,0.4,3.4,-0.25,5.8,69929.0,3143.32,34325.0,51427.0,-4.3,-1.5,9.4,1.25,5.9,262.615,23681.17,851.7,2301.1,3.2,-0.1,9.1,1.75,6900.0,2022-06-01,1,36
SSI027,SSI02710,SSI02710,16,SSI,0,334,0.8,327.46,18201.7,34145.2,188508.7,3.8,0.35,2.7,3.7,81400,4.3,49580.7,2966.43,29204.0,55709.0,-0.6,-1.4,6.1,0.5,3.5,133.22,4348.3,33.4,175.948,-1.4,-0.1,6.7,0.5,3000.0,4.14,58036.0,2179.21,23718.2,72134.2,-1.3,0.6,7.93,0.5,2.4,8752.792,5039.15,29053.1,119767.9,-1.8,0.6,2.6,-0.1,7300.0,2.0,22575.6,815.31,4.8,0.4,3.4,-0.25,6.2,74561.0,3143.32,34325.0,51427.0,-2.7,0.1,10.1,1.25,5.9,265.032,23681.17,851.7,2301.1,3.0,0.2,8.5,2.5,7000.0,2022-07-01,1,36
SSI027,SSI02710,SSI02710,17,SSI,0,334,0.8,310.39,18201.7,34145.2,188508.7,4.2,0.24,2.5,3.65,83900,4.8,52834.2,2966.43,29204.0,55709.0,2.0,2.4,5.9,0.5,3.69,136.22,4348.3,33.4,175.948,1.9,-1.3,7.0,0.5,2900.0,4.41,41054.0,2179.21,23718.2,72134.2,3.0,2.4,8.37,0.5,2.8,8060.539,5039.15,29053.1,119767.9,5.6603,1.4,3.0,-0.1,7300.0,2.0,22711.3,815.31,4.8,0.4,3.5,-0.25,6.3,80048.0,3143.32,34325.0,51427.0,-3.5,-0.2,9.9,1.75,6.3,265.216,23681.17,851.7,2301.1,3.1,0.1,8.3,2.5,7000.0,2022-08-01,1,36
SSI027,SSI02710,SSI02710,18,SSI,0,334,0.6,318.24,18201.7,55689.5,285423.7,6.3,0.8,2.8,3.65,87000,4.6,53561.4,2966.43,29064.0,55696.0,3.3,-0.2,5.6,1.25,4.56,139.5,4348.3,32.398,177.722,3.7,1.8,8.6,1.25,2800.0,5.0,55174.0,2179.21,23618.2,71767.4,-0.6,-2.4,8.87,1.25,3.0,8817.64,5039.15,29053.1,119767.9,8.7293,-0.5,3.0,-0.1,7100.0,2.0,23194.2,815.31,6.0,0.0,3.3,0.5,6.5,80739.0,3143.32,34738.0,50458.0,-4.1,-1.6,10.1,2.25,6.6,262.473,23681.17,813.5,2302.4,4.6,0.4,8.2,3.25,6600.0,2022-09-01,1,36
SSI027,SSI02710,SSI02710,19,SSI,0,334,0.6,293.61,18201.7,55689.5,285423.7,5.0,0.18,2.1,3.65,79800,5.0,51967.5,2966.43,29064.0,55696.0,-1.7,-2.2,6.2,2.0,4.84,136.66,4348.3,32.398,177.722,-0.7,-0.8,8.8,2.0,3100.0,5.3,54839.0,2179.21,23618.2,71767.4,-1.8,-1.2,11.84,2.0,3.6,9001.317,5039.15,29053.1,119767.9,3.1311,-1.7,3.7,-0.1,7300.0,1.8,22397.8,815.31,6.0,0.0,3.0,0.5,6.5,82419.0,3143.32,34738.0,50458.0,-2.4,0.4,11.1,2.25,6.3,259.671,23681.17,813.5,2302.4,3.1,-0.1,7.7,3.25,6700.0,2022-10-01,1,36
SSI027,SSI02710,SSI02710,20,SSI,0,334,0.6,290.62,18201.7,55689.5,285423.7,2.2,-0.24,1.6,3.65,74500,5.3,51228.8,2966.43,29064.0,55696.0,1.6,1.2,6.2,2.0,5.03,137.12,4348.3,32.398,177.722,-0.2,0.4,8.8,2.0,2800.0,5.59,57636.0,2179.21,23618.2,71767.4,-3.8,-0.2,11.77,2.0,3.7,8836.797,5039.15,29053.1,119767.9,-1.3623,0.0,3.8,-0.1,7200.0,1.9,20554.1,815.31,6.0,0.0,3.0,0.5,6.3,81866.0,3143.32,34738.0,50458.0,-2.8,0.9,10.7,3.0,6.0,256.225,23681.17,813.5,2302.4,0.1,-0.3,7.1,4.0,6400.0,2022-11-01,1,36
SSI027,SSI02710,SSI02710,21,SSI,0,334,0.7,296.9,18316.77,81439.8,388651.6,1.3,0.37,1.8,3.65,77900,5.3,51967.0,2796.3,29594.0,55982.0,2.0,0.9,5.9,2.5,5.21,130.98,4163.6,31.999,178.745,-3.8,-2.7,8.1,2.5,2700.0,5.85,51917.0,2104.07,23533.5,71083.9,-1.0,1.3,11.63,2.5,4.0,8786.842,4262.46,32404.9,119239.3,-2.1818,-0.6,4.0,-0.1,6900.0,1.8,22036.8,828.51,6.4,2.3,2.8,1.0,6.3,79870.0,3114.04,37389.0,55526.0,-2.9,-1.2,10.5,3.5,5.7,253.508,26006.89,806.3,2274.6,-0.8,-1.2,6.5,4.5,6500.0,2022-12-01,1,36
SSI027,SSI02710,SSI02710,22,SSI,0,334,1.0,284.41,18316.77,81439.8,388651.6,2.4,0.64,2.1,3.65,88600,5.5,50882.9,2796.3,29594.0,55982.0,-1.6,-1.4,6.0,2.5,5.61,133.81,4163.6,31.999,178.745,-2.1,2.3,8.7,2.5,2900.0,6.02,46805.0,2104.07,23533.5,71083.9,2.6,-1.2,9.97,2.5,4.2,6550.041,4262.46,32404.9,119239.3,-2.7921,-3.6,4.3,-0.1,7200.0,2.0,22534.5,828.51,6.4,2.3,3.3,1.0,5.8,76315.0,3114.04,37389.0,55526.0,-3.8,-0.4,10.1,3.5,5.6,259.974,26006.89,806.3,2274.6,0.3,0.7,6.4,4.5,6500.0,2023-01-01,1,36
SSI027,SSI02710,SSI02710,23,SSI,0,334,0.6,208.64,18316.77,81439.8,388651.6,2.4,0.41,1.0,3.65,80100,5.8,51916.7,2796.3,29594.0,55982.0,1.2,1.4,6.3,3.0,5.68,135.49,4163.6,31.999,178.745,0.3,2.0,8.7,3.0,3000.0,6.29,52502.0,2104.07,23533.5,71083.9,-1.5,0.9,9.15,3.0,3.1,7654.026,4262.46,32404.9,119239.3,-0.5917,3.4,3.3,-0.1,6900.0,1.9,22120.2,828.51,6.4,2.3,3.4,1.0,6.2,75233.0,3114.04,37389.0,55526.0,-2.9,0.0,10.4,4.0,5.5,254.337,26006.89,806.3,2274.6,-0.2,0.1,6.0,4.75,6000.0,2023-02-01,1,36
SSI027,SSI02710,SSI02710,24,SSI,0,334,0.7,302.45,18316.77,13285.8,91921.4,3.9,0.64,0.7,3.65,95700,5.9,50646.0,2796.3,30247.0,56584.0,0.3,-1.4,5.7,3.5,5.84,132.87,4163.6,32.351,177.435,2.6,-2.5,7.4,3.5,3300.0,6.26,59600.0,2104.07,25253.1,70732.6,-2.7,-0.6,7.61,3.5,3.1,8823.049,4262.46,32404.9,119239.3,-0.846,0.4,3.2,-0.1,7500.0,1.8,22416.5,828.51,3.7,0.8,2.9,1.5,6.2,75787.0,3114.04,36878.0,55816.0,-3.1,-0.5,10.1,4.25,5.6,259.541,26006.89,810.8,2224.4,-0.4,0.4,5.0,5.0,6700.0,2023-03-01,1,36
SSI027,SSI02710,SSI02710,25,SSI,0,334,0.7,288.08,18316.77,13285.8,91921.4,5.6,-0.15,0.1,3.65,92600,6.2,50069.7,2796.3,30247.0,56584.0,1.5,0.4,5.9,3.5,5.8,128.63,4163.6,32.351,177.435,0.5,-0.4,7.2,3.5,3200.0,6.22,47599.0,2104.07,25253.1,70732.6,-6.7,-1.9,8.16,3.5,3.4,8290.864,4262.46,32404.9,119239.3,-0.6776,0.3,3.5,-0.1,7200.0,1.7,20231.0,828.51,3.7,0.8,2.6,1.5,6.8,74866.0,3114.04,36878.0,55816.0,-3.4,0.2,8.7,4.25,5.5,253.608,26006.89,810.8,2224.4,-0.2,0.2,4.9,5.0,6600.0,2023-04-01,1,36
SSI027,SSI02710,SSI02710,26,SSI,0,334,0.6,280.92,18316.77,13285.8,91921.4,3.5,0.77,0.2,3.65,90100,5.7,53233.9,2796.3,30247.0,56584.0,2.7,2.4,5.1,3.75,5.39,132.2,4163.6,32.351,177.435,0.4,1.5,6.1,3.75,3200.0,6.0,57148.0,2104.07,25253.1,70732.6,-3.1,1.4,7.64,3.75,3.2,7291.799,4262.46,32404.9,119239.3,4.2025,-1.0,3.2,-0.1,7600.0,1.5,21978.6,828.51,3.7,0.8,2.2,1.5,7.1,73049.0,3114.04,36878.0,55816.0,-4.5,-0.8,8.7,4.5,5.3,252.569,26006.89,810.8,2224.4,-0.4,-0.3,4.1,5.25,6900.0,2023-05-01,1,36
SSI027,SSI02710,SSI02710,27,SSI,0,334,0.4,283.38,18316.77,36564.1,189219.6,4.4,0.78,0.0,3.55,91100,5.7,52247.8,2796.3,30830.0,57796.0,0.5,-1.3,4.5,4.0,5.77,133.01,4163.6,31.945,175.533,-1.9,-2.4,6.4,4.0,2900.0,5.58,55321.0,2104.07,25033.5,70671.0,-0.7,0.1,6.4,4.0,3.3,8740.792,4262.46,32404.9,119239.3,0.0,0.9,3.3,-0.1,7300.0,1.5,21636.7,828.51,-1.2,-4.6,1.7,1.75,6.9,73415.0,3114.04,37248.0,56710.0,-1.2,2.0,7.9,5.0,4.8,251.879,26006.89,819.0,2263.3,-0.9,-0.8,3.0,5.25,6800.0,2023-06-01,1,36
SSI027,SSI02710,SSI02710,28,SSI,0,334,0.8,280.78,18316.77,36564.1,189219.6,3.7,0.13,-0.3,3.55,90800,5.5,51930.5,2796.3,30830.0,57796.0,1.8,-0.2,4.3,4.25,5.55,131.1,4163.6,31.945,175.533,-2.2,-0.5,6.2,4.25,3000.0,5.18,53646.0,2104.07,25033.5,70671.0,-2.2,-0.7,5.93,4.25,3.1,8724.069,4262.46,32404.9,119239.3,-2.3169,-1.4,3.3,-0.1,7400.0,1.4,20810.8,828.51,-1.2,-4.6,1.6,1.75,6.9,73127.0,3114.04,37248.0,56710.0,-1.9,-0.6,6.8,5.0,4.7,255.576,26006.89,819.0,2263.3,-0.3,0.8,3.2,5.5,6900.0,2023-07-01,1,36
SSI027,SSI02710,SSI02710,29,SSI,0,334,0.8,283.84,18316.77,36564.1,189219.6,4.5,0.58,0.1,3.45,86400,5.0,51028.9,2796.3,30830.0,57796.0,-0.4,0.2,4.9,4.25,5.53,130.53,4163.6,31.945,175.533,-2.2,-0.3,6.1,4.25,2800.0,4.78,41966.0,2104.07,25033.5,70671.0,-4.1,0.8,5.44,4.25,3.1,7994.247,4262.46,32404.9,119239.3,-4.365,-0.4,3.2,-0.1,7100.0,1.3,22100.7,828.51,-1.2,-4.6,1.6,1.75,6.2,71719.0,3114.04,37248.0,56710.0,-1.9,-0.2,6.7,5.25,4.3,259.963,26006.89,819.0,2263.3,-0.3,-0.1,3.7,5.5,7000.0,2023-08-01,1,36
SSI027,SSI02710,SSI02710,30,SSI,0,334,0.8,296.45,18316.77,59391.5,286794.6,4.5,0.36,0.0,3.45,82100,4.6,49685.2,2796.3,30934.0,57888.0,-0.4,-0.1,4.9,4.5,4.64,128.1,4163.6,31.655,174.078,-3.8,-0.7,4.5,4.5,2900.0,4.58,51653.0,2104.07,25132.3,70762.3,-1.7,-0.5,5.34,4.5,2.8,9198.636,4262.46,32404.9,119239.3,-4.371,0.1,3.0,-0.1,7000.0,1.2,24116.1,828.51,1.9,3.5,1.7,1.75,6.1,70620.0,3114.04,37241.0,57105.0,-0.8,-0.5,6.7,5.25,4.1,263.533,26006.89,842.3,2323.8,-0.3,0.2,3.7,5.5,6700.0,2023-09-01,1,36
SSI027,SSI02710,SSI02710,31,SSI,0,334,0.6,274.2,18316.77,59391.5,286794.6,4.6,0.48,-0.2,3.45,79100,4.2,50079.2,2796.3,30934.0,57888.0,1.9,0.0,4.0,4.5,4.34,129.63,4163.6,31.655,174.078,-3.9,-0.5,3.8,4.5,2900.0,4.21,56540.0,2104.07,25132.3,70762.3,-0.7,-0.1,1.69,4.5,2.9,9145.15,4262.46,32404.9,119239.3,1.1385,1.2,3.3,-0.1,7500.0,1.4,21208.4,828.51,1.9,3.5,1.7,1.75,5.7,71768.0,3114.04,37241.0,57105.0,-2.5,-1.3,4.6,5.25,4.0,262.463,26006.89,842.3,2323.8,-0.8,-0.5,3.2,5.5,6800.0,2023-10-01,1,36
SSI027,SSI02710,SSI02710,32,SSI,0,334,0.6,292.63,18316.77,59391.5,286794.6,6.6,0.79,-0.5,3.45,76100,3.4,50172.7,2796.3,30934.0,57888.0,0.9,0.1,3.5,4.5,3.78,131.85,4163.6,31.655,174.078,-4.5,-0.3,3.2,4.5,2700.0,3.56,55226.0,2104.07,25132.3,70762.3,-2.4,-2.0,0.67,4.5,2.5,8817.953,4262.46,32404.9,119239.3,-1.5653,-0.6,2.8,-0.1,7100.0,1.3,21464.7,828.51,1.9,3.5,1.4,1.75,5.1,72230.0,3114.04,37241.0,57105.0,-3.1,0.2,3.9,5.25,4.0,257.254,26006.89,842.3,2323.8,-0.1,0.4,3.1,5.5,6600.0,2023-11-01,1,36
